time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 13,label
1.6607,-0.0441,-0.0979,0.977,0.0266,0.0807,-0.1054,0.0144,0.0029,0.0256,2.175,-43.3313,-11.7375,,adl
1.671531,-0.0441,-0.0979,0.977,0.1393,0.0442,-0.0978,0.0144,0.0029,0.0256,2.175,-43.3313,-11.7375,,adl
1.685261,-0.0441,-0.0979,0.977,0.1393,0.0442,-0.0978,0.0144,0.0029,0.0256,2.175,-43.125,-12.0375,,adl
1.686543,-0.0441,-0.0979,0.977,0.1393,0.0442,-0.0978,-0.0246,0.0432,0.0403,2.175,-43.125,-12.0375,,adl
1.689971,-0.0441,-0.0979,0.977,0.1774,0.0078,-0.0155,-0.0246,0.0432,0.0403,2.175,-43.125,-12.0375,,adl
1.708552,-0.0409,-0.1042,1.0007,0.1774,0.0078,-0.0155,-0.0246,0.0432,0.0403,2.175,-43.125,-12.0375,,adl
1.71283,-0.0409,-0.1042,1.0007,0.1417,0.0236,0.0784,-0.0246,0.0432,0.0403,2.175,-43.125,-12.0375,,adl
1.72843,-0.0409,-0.1042,1.0007,0.139,0.0181,0.1263,-0.0246,0.0432,0.0403,2.175,-43.125,-12.0375,,adl
1.743341,-0.0409,-0.1042,1.0007,0.139,0.0181,0.1263,-0.0246,0.0432,0.0403,1.7813,-43.125,-11.8313,,adl
1.746561,-0.0409,-0.1042,1.0007,0.139,0.0181,0.1263,-0.0161,-0.0461,0.0085,1.7813,-43.125,-11.8313,,adl
1.748494,-0.0409,-0.1042,1.0007,0.1586,-0.0162,0.0639,-0.0161,-0.0461,0.0085,1.7813,-43.125,-11.8313,,adl
1.755974,-0.0357,-0.1079,0.9981,0.1586,-0.0162,0.0639,-0.0161,-0.0461,0.0085,1.7813,-43.125,-11.8313,,adl
